region,lat,long,node_id
CA,37.97,-120.366,FBERBORD_1_N001
CA,33.093263724336374,-117.07363766,FELICITA_6_N001
CA,33.09318313781945,-117.07358146461416,FELICITA_6_N005
CA,33.09318313781945,-117.07369253538583,FELICITA_6_N009
CA,35.195188999987465,-119.58505586292793,FELLOWSG_7_N001
CA,35.195188999987465,-119.58516613707206,FELLOWSG_7_N002
CA,36.8220309999868,-119.85852484727553,FIGARDN_2_N001
CA,36.8220309999868,-119.85863715272448,FIGARDN_2_N101
CA,36.850688,-120.46657766,FIREBAGH_6_N001
CA,38.885303,-121.06675366,FLINT_1_N001
CA,37.746099,-121.65376566,FLOWD3-6_7_N100
CA,37.731895999986165,-121.65189782594058,FLOWD3-6_7_N101
CA,37.731895999986165,-121.65201217405945,FLOWND1_1_N01
CA,37.347699999986396,-121.92219018683775,FMC_1_N001
CA,37.347699999986396,-121.92230381316227,FMC_1_N003
PGE,44.929337,-123.04869166,FMNT_LNODEWR1
CA,35.27,-120.766,FOOTHILL_1_N001
CA,39.812222,-121.57777866,FORKBUTT_7_B1
CA,39.01927,-120.83027166,FORSTHL_6_N001
CA,36.643363,-121.79213866,FORTORD_6_N001
CA,38.539559,-123.22371366,FORTRSS_6_N001
CA,38.02007534657929,-122.06127131707333,FOSTERW_7_N001
CA,38.01989465330933,-122.06127131735613,FOSTERW_7_N004
CA,38.012317,-122.26465566,FRANKLIN_6_N003
CA,39.096050132760894,-121.62383096134931,FREC_7_B1
CA,37.54118124868743,-121.96206366,FREMNT_1_N001
CA,37.54109987564155,-121.96200374944321,FREMNT_1_N007
CA,37.54109987564155,-121.9621222505568,FREMNT_1_N013
CA,37,-119.70527866,FRIANTDM_7_B1
CA,32.77904499998872,-117.15675673371696,FRIARS_1_N001
CA,32.77904499998872,-117.15686326628304,FRIARS_1_N009
CA,40.68692,-122.64120466,FRNCHGLH_6_N001
CA,39.26765646965988,-120.77613866,FRNCHMD_7_B1
CA,38.056504,-120.5338166,FROGTOWN_7_N001
CA,40.21377199998503,-123.5965859902072,FRTSWRD_6_N001
CA,40.21377199998503,-123.59670400979287,FRTSWRD_6_N004
CA,40.28584,-123.83737266,FRUITLND_6_N001
CA,35.376774999987504,-119.09248683889676,FRUITVLE_6_N001
CA,35.376774999987504,-119.09259716110328,FRUITVLE_6_N101
PGE,44.53513699998246,-122.43128773956694,FRVW_LNODEWR1
PGE,44.53513699998246,-122.43141426043307,FRVW_LNODEWR2
CA,38.60608399998592,-122.85282549557644,FTCHMTN_6_N001
CA,38.60608399998592,-122.85294050442357,FTCHMTN_6_N003
CA,38.496652983384124,-122.7594966,FULTON_1_N020
CA,38.49657200829278,-122.75943026543568,FULTON_2_N010
CA,38.49657200829278,-122.75954973456433,FULTON_2_N049
PGE,45.26952139877592,-122.31878368453087,FYP1_1_GNODE6
PGE,45.26952139877592,-122.31903831546914,FYP1_1_GNODE7
PGE,45.269700601082505,-122.31903831587108,FYP1_1_GNODE8
